,,,,"Farm Buildings.png#FarmHouse_X4Y17","Farm Buildings.png#FarmHouse_X5Y17","Farm Buildings.png#FarmHouse_X6Y17","Farm Buildings.png#FarmHouse_X7Y17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Farm Buildings.png#FarmHouse_X3Y18","Farm Buildings.png#FarmHouse_X4Y18","Farm Buildings.png#FarmHouse_X5Y18","Farm Buildings.png#FarmHouse_X6Y18","Farm Buildings.png#FarmHouse_X7Y18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y19","Farm Buildings.png#FarmHouse_X1Y19","Farm Buildings.png#FarmHouse_X2Y19","Farm Buildings.png#FarmHouse_X3Y19","Farm Buildings.png#FarmHouse_X4Y19","Farm Buildings.png#FarmHouse_X5Y19","Farm Buildings.png#FarmHouse_X6Y19","Farm Buildings.png#FarmHouse_X7Y19","Farm Buildings.png#FarmHouse_X8Y19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y20","Farm Buildings.png#FarmHouse_X1Y20","Farm Buildings.png#FarmHouse_X2Y20","Farm Buildings.png#FarmHouse_X3Y20","Farm Buildings.png#FarmHouse_X4Y20","Farm Buildings.png#FarmHouse_X5Y20","Farm Buildings.png#FarmHouse_X6Y20","Farm Buildings.png#FarmHouse_X7Y20","Farm Buildings.png#FarmHouse_X8Y20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y21","Farm Buildings.png#FarmHouse_X1Y21","Farm Buildings.png#FarmHouse_X2Y21","Farm Buildings.png#FarmHouse_X3Y21","Farm Buildings.png#FarmHouse_X4Y21","Farm Buildings.png#FarmHouse_X5Y21","Farm Buildings.png#FarmHouse_X6Y21","Farm Buildings.png#FarmHouse_X7Y21","Farm Buildings.png#FarmHouse_X8Y21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y22","Farm Buildings.png#FarmHouse_X1Y22","Farm Buildings.png#FarmHouse_X2Y22","Farm Buildings.png#FarmHouse_X3Y22","Farm Buildings.png#FarmHouse_X4Y22","Farm Buildings.png#FarmHouse_X5Y22","Farm Buildings.png#FarmHouse_X6Y22","Farm Buildings.png#FarmHouse_X7Y22","Farm Buildings.png#FarmHouse_X8Y22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y23","Farm Buildings.png#FarmHouse_X1Y23","Farm Buildings.png#FarmHouse_X2Y23","Farm Buildings.png#FarmHouse_X3Y23","Farm Buildings.png#FarmHouse_X4Y23","Farm Buildings.png#FarmHouse_X5Y23","Farm Buildings.png#FarmHouse_X6Y23","Farm Buildings.png#FarmHouse_X7Y23","Farm Buildings.png#FarmHouse_X8Y23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y24","Farm Buildings.png#FarmHouse_X1Y24","Farm Buildings.png#FarmHouse_X2Y24","Farm Buildings.png#FarmHouse_X3Y24","Farm Buildings.png#FarmHouse_X4Y24","Farm Buildings.png#FarmHouse_X5Y24","Farm Buildings.png#FarmHouse_X6Y24","Farm Buildings.png#FarmHouse_X7Y24","Farm Buildings.png#FarmHouse_X8Y24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farm Buildings.png#FarmHouse_X0Y25","Farm Buildings.png#FarmHouse_X1Y25","Farm Buildings.png#FarmHouse_X2Y25","Farm Buildings.png#FarmHouse_X3Y25","Farm Buildings.png#FarmHouse_X4Y25","Farm Buildings.png#FarmHouse_X5Y25","Farm Buildings.png#FarmHouse_X6Y25","Farm Buildings.png#FarmHouse_X7Y25","Farm Buildings.png#FarmHouse_X8Y25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
