id,sc2k_type,filename,image,animated,frames,type,subtype,name,description,randomize,density,zone,lot_size,rotate_0,rotate_1,rotate_2,rotate_3,flip_h,flip_alt_tile,slopes,polygon,lines
0,DEFAULT,1256.png,1256,N,0,terrain,terrain,land,land,N,,,1x1,0,0,0,0,N,N,"[0,0,0,0]","[{ x: 0, y: 0 }, { x: 32, y: 16 }, { x: 0, y: 32 }, { x: -32, y: 16 }, { x: 0, y: 0 }]",
1,XBLD,1001.png,1001,N,0,building,rubble,rubble_1,Rubble,Y,,,1x1,1,1,1,1,N,N,,,
2,XBLD,1002.png,1002,N,0,building,rubble,rubble_2,Rubble,Y,,,1x1,2,2,2,2,N,N,,,
3,XBLD,1003.png,1003,N,0,building,rubble,rubble_3,Rubble,Y,,,1x1,3,3,3,3,N,N,,,
4,XBLD,1004.png,1004,N,0,building,rubble,rubble_4,Rubble,Y,,,1x1,4,4,4,4,N,N,,,
5,XBLD,1005.png,1005,Y,24,building,fallout,radioactive,Radioactive waste,N,,,1x1,5,5,5,5,N,N,,,
6,XBLD,1006.png,1006,N,0,building,trees,tree_1,Trees,N,,,1x1,6,6,6,6,N,N,,,
7,XBLD,1007.png,1007,N,0,building,trees,tree_2,Trees,N,,,1x1,7,7,7,7,N,N,,,
8,XBLD,1008.png,1008,N,0,building,trees,tree_3,Trees,N,,,1x1,8,8,8,8,N,N,,,
9,XBLD,1009.png,1009,N,0,building,trees,tree_4,Trees,N,,,1x1,9,9,9,9,N,N,,,
10,XBLD,1010.png,1010,N,0,building,trees,tree_5,Trees,N,,,1x1,10,10,10,10,N,N,,,
11,XBLD,1011.png,1011,N,0,building,trees,tree_6,Trees,N,,,1x1,11,11,11,11,N,N,,,
12,XBLD,1012.png,1012,N,0,building,trees,tree_7,Trees,N,,,1x1,12,12,12,12,N,N,,,
13,XBLD,1013.png,1013,N,0,building,recreation,small_park,Small park,N,,,1x1,13,13,13,13,N,N,,,
14,XBLD,1014.png,1014,N,0,powerline,powerline,powerline_1,Power lines,N,,,1x1,15,14,15,14,N,N,,,
15,XBLD,1015.png,1015,N,0,powerline,powerline,powerline_2,Power lines,N,,,1x1,14,15,14,15,N,N,,,
16,XBLD,1016.png,1016,N,0,powerline,powerline,powerline_3,Power lines,N,,,1x1,19,16,17,18,N,N,"[1,0,0,1]",,
17,XBLD,1017.png,1017,N,0,powerline,powerline,powerline_4,Power lines,N,,,1x1,16,17,18,19,N,N,"[1,1,0,0]",,
18,XBLD,1018.png,1018,N,0,powerline,powerline,powerline_5,Power lines,N,,,1x1,17,18,19,16,N,N,"[0,1,1,0]",,
19,XBLD,1019.png,1019,N,0,powerline,powerline,powerline_6,Power lines,N,,,1x1,18,19,16,17,N,N,"[0,0,1,1]",,
20,XBLD,1020.png,1020,N,0,powerline,powerline,powerline_7,Power lines,N,,,1x1,23,20,21,22,N,N,,,
